alias,club_name,team_id
Jahn Regensburg,Jahn Regensburg,202606100198
Regensburg,Jahn Regensburg,202606100198
Kaiserslautern,Kaiserslautern,202606100203
1. FC Kaiserslautern,Kaiserslautern,202606100203
Karlsruhe,Karlsruhe,202606100204
Karlsruher SC,Karlsruhe,202606100204
Magdeburg,1. FC Magdeburg,202606100001
1. FC Magdeburg,1. FC Magdeburg,202606100001
Mainz 05,Mainz 05,202606100244
Mainz,Mainz 05,202606100244
1. FSV Mainz 05,Mainz 05,202606100244
Mainz-05,Mainz 05,202606100244
MSV Duisburg,MSV Duisburg,202606100241
Duisburg,MSV Duisburg,202606100241
Nuernberg,Nuernberg,202606100274
Nürnberg,Nuernberg,202606100274
Nurnberg,Nuernberg,202606100274
1. FC Nürnberg,Nuernberg,202606100274
Paderborn 07,Paderborn,202606100285
Paderborn,Paderborn,202606100285
SC Paderborn,Paderborn,202606100285
Paderborn-07,Paderborn,202606100285
Preußen Münster,Preußen Münster,202606100307
Munster,Preußen Münster,202606100307
RB Leipzig,RB Leipzig,202606100315
RasenBallsport Leipzig,RB Leipzig,202606100315
RB-Leipzig,RB Leipzig,202606100315
RBL,RB Leipzig,202606100315
Rostock,Hansa Rostock,202606100181
Hansa Rostock,Hansa Rostock,202606100181
Schalke 04,Schalke 04,202606100353
Schalke,Schalke 04,202606100353
SSV Ulm,Ulm,202606100400
St. Pauli,St. Pauli,202606100378
FC St. Pauli,St. Pauli,202606100378
St-Pauli,St. Pauli,202606100378
Stuttgart,VfB Stuttgart,202606100408
VfB Stuttgart,VfB Stuttgart,202606100408
Union Berlin,Union Berlin,202606100401
1. FC Union Berlin,Union Berlin,202606100401
Union-Berlin,Union Berlin,202606100401
Wehen Wiesbaden,Wehen Wiesbaden,202606100419
Wiesbaden,Wehen Wiesbaden,202606100419
Werder Bremen,Werder Bremen,202606100420
Werder-Bremen,Werder Bremen,202606100420
Wolfsburg,Wolfsburg,202606100425
VfL Wolfsburg,Wolfsburg,202606100425
Würzburger Kickers,Würzburger Kickers,202606100428
Würzburg,Würzburger Kickers,202606100428
Wurzburg,Würzburger Kickers,202606100428
Albacete,Albacete,202606100010
Albacete Balompié,Albacete,202606100010
esAlbacete,Albacete,202606100010
Alcorcón,Alcorcon,202606100011
Alcorcon,Alcorcon,202606100011
AD Alcorcón,Alcorcon,202606100011
esAlcorcon,Alcorcon,202606100011
Almería,Almería,202606100013
UD Almería,Almería,202606100013
esAlmería,Almería,202606100013
Amorebieta,Amorebieta,202606100015
SD Amorebieta,Amorebieta,202606100015
Andorra,Andorra,202606100017
Andorra CF,Andorra,202606100017
FC Andorra,Andorra,202606100017
Athletic Club,Athletic Club,202606100028
Athletic Bilbao,Athletic Club,202606100028
Athletic-Club,Athletic Club,202606100028
Atlético Madrid,Atlético Madrid,202606100029
Atletico Madrid,Atlético Madrid,202606100029
Atletico,Atlético Madrid,202606100029
Atletico-Madrid,Atlético Madrid,202606100029
Barcelona,Barcelona,202606100036
FC Barcelona,Barcelona,202606100036
Burgos,Burgos,202606100067
Burgos CF,Burgos,202606100067
Cádiz,Cádiz,202606100102
Cadiz,Cádiz,202606100102
Cádiz CF,Cádiz,202606100102
Cartagena,Cartagena,202606100079
FC Cartagena,Cartagena,202606100079
Castellón,Castellón,202606100080
CD Castellón,Castellón,202606100080
Celta Vigo,Celta Vigo,202606100082
Celta-Vigo,Celta Vigo,202606100082
Córdoba,Córdoba,202606100103
Cordoba,Córdoba,202606100103
Córdoba CF,Córdoba,202606100103
Cultural Leonesa,Cultural Leonesa,202606100101
Deportivo La Coruna,Deportivo La Coruna,202606100107
Deportivo de La Coruña,Deportivo La Coruna,202606100107
Dep La Coruña,Deportivo La Coruna,202606100107
Deportivo,Deportivo La Coruna,202606100107
RC Deportivo,Deportivo La Coruna,202606100107
Deportivo Alavés,Deportivo Alavés,202606100106
Alaves,Deportivo Alavés,202606100106
Deportivo Alaves,Deportivo Alavés,202606100106
Alavés,Deportivo Alavés,202606100106
Eibar,Eibar,202606100118
SD Eibar,Eibar,202606100118
Elche,Elche,202606100121
Elche CF,Elche,202606100121
Eldense,Eldense,202606100122
CD Eldense,Eldense,202606100122
Espanyol,Espanyol,202606100126
RCD Espanyol,Espanyol,202606100126
Extremadura,Extremadura,202606100128
Extremadura UD,Extremadura,202606100128
Fuenlabrada,Fuenlabrada,202606100162
CF Fuenlabrada,Fuenlabrada,202606100162
Getafe,Getafe,202606100168
Getafe CF,Getafe,202606100168
Girona,Girona,202606100170
Girona FC,Girona,202606100170
Granada,Granada,202606100172
Granada CF,Granada,202606100172
Huesca,SD Huesca,202606100342
SD Huesca,SD Huesca,202606100342
Ibiza,Ibiza,202606100193
UD Ibiza,Ibiza,202606100193
Las Palmas,Las Palmas,202606100210
UD Las Palmas,Las Palmas,202606100210
Leganés,Leganés,202606100220
Leganes,Leganés,202606100220
CD Leganés,Leganés,202606100220
Levante,Levante,202606100224
Levante UD,Levante,202606100224
Logroñés,Logroñés,202606100229
UD Logroñés,Logroñés,202606100229
Lorca,Lorca,202606100232
Lorca FC,Lorca,202606100232
Lugo,Lugo,202606100235
CD Lugo,Lugo,202606100235
Málaga,Malaga,202606100245
Malaga,Malaga,202606100245
Málaga CF,Malaga,202606100245
Malaga CF,Malaga,202606100245
Mallorca,Mallorca,202606100246
RCD Mallorca,Mallorca,202606100246
Mirandés,Mirandés,202606100256
Mirandes,Mirandés,202606100256
CD Mirandés,Mirandés,202606100256
Nàstic,Gimnàstic,202606100169
Gimnàstic,Gimnàstic,202606100169
Gimnàstic de Tarragona,Gimnàstic,202606100169
Nàstic de Tarragona,Gimnàstic,202606100169
Numancia,Numancia,202606100275
CD Numancia,Numancia,202606100275
Osasuna,Osasuna,202606100280
CA Osasuna,Osasuna,202606100280
Oviedo,Oviedo,202606100281
Real Oviedo,Oviedo,202606100281
Ponferradina,Ponferradina,202606100302
SD Ponferradina,Ponferradina,202606100302
Racing Ferrol,Racing Ferrol,202606100318
Racing Santander,Racing Santander,202606100319
Racing de Santander,Racing Santander,202606100319
Rayo Vallecano,Rayo Vallecano,202606100324
Rayo-Vallecano,Rayo Vallecano,202606100324
Real Betis,Real Betis,202606100326
Real-Betis,Real Betis,202606100326
Real Madrid,Real Madrid,202606100327
Real-Madrid,Real Madrid,202606100327
Real Sociedad,Real Sociedad,202606100328
Real-Sociedad,Real Sociedad,202606100328
Real Valladolid,Real Valladolid,202606100330
Valladolid,Real Valladolid,202606100330
Reus,Reus,202606100336
CF Reus Deportiu,Reus,202606100336
Reus Deportiu,Reus,202606100336
Sabadell,Sabadell,202606100346
CE Sabadell,Sabadell,202606100346
Sevilla,Sevilla,202606100355
Sevilla FC,Sevilla,202606100355
Sporting Gijón,Sporting Gijón,202606100376
Sporting de Gijón,Sporting Gijón,202606100376
Tenerife,Tenerife,202606100389
CD Tenerife,Tenerife,202606100389
Valencia,Valencia,202606100405
Valencia CF,Valencia,202606100405
Villarreal,Villarreal,202606100413
Villarreal CF,Villarreal,202606100413
Villarreal B,Villarreal B,202606100414
Zaragoza,Zaragoza,202606100430
Real Zaragoza,Zaragoza,202606100430
Alessandria,Alessandria,202606100012
US Alessandria,Alessandria,202606100012
Ascoli,Ascoli,202606100025
Ascoli Calcio,Ascoli,202606100025
itAscoli,Ascoli,202606100025
Atalanta,Atalanta,202606100027
Atalanta BC,Atalanta,202606100027
Avellino,Avellino,202606100033
US Avellino,Avellino,202606100033
Bari,Bari,202606100038
SSC Bari,Bari,202606100038
itBari,Bari,202606100038
Benevento,Benevento,202606100043
Benevento Calcio,Benevento,202606100043
Bologna,Bologna,202606100052
Bologna FC,Bologna,202606100052
Brescia,Brescia,202606100062
Brescia Calcio,Brescia,202606100062
itBrescia,Brescia,202606100062
Cagliari,Cagliari,202606100075
Cagliari Calcio,Cagliari,202606100075
Carpi,Carpi,202606100077
Carpi FC,Carpi,202606100077
Carrarese,Carrarese,202606100078
Carrarese Calcio,Carrarese,202606100078
Catanzaro,Catanzaro,202606100081
US Catanzaro,Catanzaro,202606100081
Cesena,Cesena,202606100084
AC Cesena,Cesena,202606100084
Chievo,Chievo,202606100088
Chievo Verona,Chievo,202606100088
Cittadella,Cittadella,202606100090
AS Cittadella,Cittadella,202606100090
Como,Como,202606100093
Como 1907,Como,202606100093
Cosenza,Cosenza,202606100095
Cosenza Calcio,Cosenza,202606100095
Cremonese,Cremonese,202606100097
US Cremonese,Cremonese,202606100097
Crotone,Crotone,202606100098
FC Crotone,Crotone,202606100098
Empoli,Empoli,202606100123
Empoli FC,Empoli,202606100123
Entella,Entella,202606100124
Virtus Entella,Entella,202606100124
Feralpisalò,Feralpisalò,202606100153
Feralpisalo,Feralpisalò,202606100153
Fiorentina,Fiorentina,202606100156
ACF Fiorentina,Fiorentina,202606100156
Foggia,Foggia,202606100157
Foggia Calcio,Foggia,202606100157
Frosinone,Frosinone,202606100161
Frosinone Calcio,Frosinone,202606100161
Genoa,Genoa,202606100166
Genoa CFC,Genoa,202606100166
Hellas Verona,Hellas Verona,202606100185
Hellas-Verona,Hellas Verona,202606100185
Verona,Hellas Verona,202606100185
Internazionale,Internazionale,202606100195
Inter,Internazionale,202606100195
Inter Milan,Internazionale,202606100195
Juventus,Juventus,202606100200
Juventus FC,Juventus,202606100200
Lazio,Lazio,202606100213
SS Lazio,Lazio,202606100213
Lecce,Lecce,202606100216
US Lecce,Lecce,202606100216
Lecco,Lecco,202606100217
Calcio Lecco,Lecco,202606100217
Livorno,Livorno,202606100228
AS Livorno,Livorno,202606100228
Mantova,Mantova,202606100250
Mantova 1911,Mantova,202606100250
Milan,Milan,202606100254
AC Milan,Milan,202606100254
Modena,Modena,202606100258
Modena FC,Modena,202606100258
Monza,Monza,202606100262
AC Monza,Monza,202606100262
Napoli,Napoli,202606100265
SSC Napoli,Napoli,202606100265
Novara,Novara,202606100273
Novara Calcio,Novara,202606100273
Padova,Padova,202606100286
Calcio Padova,Padova,202606100286
Palermo,Palermo,202606100288
Palermo FC,Palermo,202606100288
US Città di Palermo,Palermo,202606100288
Parma,Parma,202606100292
Parma Calcio,Parma,202606100292
Parma Calcio 1913,Parma,202606100292
Perugia,Perugia,202606100296
AC Perugia,Perugia,202606100296
Pescara,Pescara,202606100297
Delfino Pescara,Pescara,202606100297
Pisa,Pisa,202606100299
AC Pisa,Pisa,202606100299
Pisa SC,Pisa,202606100299
Pordenone,Pordenone,202606100303
Pordenone Calcio,Pordenone,202606100303
Pro Vercelli,Pro Vercelli,202606100308
FC Pro Vercelli,Pro Vercelli,202606100308
Reggiana,Reggiana,202606100332
AC Reggiana,Reggiana,202606100332
Reggina,Reggina,202606100333
Reggina 1914,Reggina,202606100333
Roma,Roma,202606100339
AS Roma,Roma,202606100339
Salernitana,Salernitana,202606100348
US Salernitana,Salernitana,202606100348
Sampdoria,Sampdoria,202606100349
UC Sampdoria,Sampdoria,202606100349
Sassuolo,Sassuolo,202606100352
US Sassuolo,Sassuolo,202606100352
SPAL,SPAL 2013,202606100344
SPAL 2013,SPAL 2013,202606100344
Spezia,Spezia,202606100374
Spezia Calcio,Spezia,202606100374
Sudtirol,Sudtirol,202606100384
Südtirol,Sudtirol,202606100384
Ternana,Ternana,202606100390
Ternana Calcio,Ternana,202606100390
Torino,Torino,202606100391
Torino FC,Torino,202606100391
Trapani,Trapani,202606100396
Trapani Calcio,Trapani,202606100396
Udinese,Udinese,202606100399
Udinese Calcio,Udinese,202606100399
Venezia,Venezia,202606100407
Venezia FC,Venezia,202606100407
Vicenza,Vicenza,202606100411
LR Vicenza,Vicenza,202606100411
Ajax,Ajax,202606100008
nlAjax,Ajax,202606100008
PSV,PSV,202606100284
nlPSV,PSV,202606100284
Feyenoord,Feyenoord,202606100155
nlFeyenoord,Feyenoord,202606100155
Porto,Porto,202606100304
ptPorto,Porto,202606100304
Benfica,Benfica,202606100044
ptBenfica,Benfica,202606100044
Sporting CP,Sporting CP,202606100375
ptSporting CP,Sporting CP,202606100375
AZ Alkmaar,AZ Alkmaar,202606100005
nlAZ Alkmaar,AZ Alkmaar,202606100005
Twente,Twente,202606100398
nlTwente,Twente,202606100398
Utrecht,Utrecht,202606100404
nlUtrecht,Utrecht,202606100404
Braga,Braga,202606100059
ptBraga,Braga,202606100059
Vitória Guimarães,Vitória Guimarães,202606100416
ptVitória Guimarães,Vitória Guimarães,202606100416
Celtic,Celtic,202606100083
sctCeltic,Celtic,202606100083
Rangers,Rangers,202606100321
sctRangers,Rangers,202606100321
Aberdeen,Aberdeen,202606100006
sctAberdeen,Aberdeen,202606100006
Hearts,Hearts,202606100184
sctHearts,Hearts,202606100184
Club Brugge,Club Brugge,202606100092
beClub Brugge,Club Brugge,202606100092
Anderlecht,Anderlecht,202606100016
beAnderlecht,Anderlecht,202606100016
Union SG,Union SG,202606100402
beUnion SG,Union SG,202606100402
Genk,Genk,202606100165
beGenk,Genk,202606100165
Gent,Gent,202606100167
beGent,Gent,202606100167
Galatasaray,Galatasaray,202606100164
trGalatasaray,Galatasaray,202606100164
Fenerbahce,Fenerbahce,202606100151
trFenerbahce,Fenerbahce,202606100151
Besiktas,Besiktas,202606100045
trBesiktas,Besiktas,202606100045
RB Salzburg,RB Salzburg,202606100316
atRB Salzburg,RB Salzburg,202606100316
Sturm Graz,Sturm Graz,202606100383
atSturm Graz,Sturm Graz,202606100383
Olympiacos,Olympiacos,202606100276
grOlympiacos,Olympiacos,202606100276
PAOK,PAOK,202606100283
grPAOK,PAOK,202606100283
Panathinaikos,Panathinaikos,202606100289
grPanathinaikos,Panathinaikos,202606100289
Bodø/Glimt,Bodø/Glimt,202606100051
noBodø/Glimt,Bodø/Glimt,202606100051
Molde,Molde,202606100259
noMolde,Molde,202606100259
Rosenborg,Rosenborg,202606100340
noRosenborg,Rosenborg,202606100340
Malmö FF,Malmö FF,202606100247
seMalmö FF,Malmö FF,202606100247
FC Copenhagen,FC Copenhagen,202606100133
dkFC Copenhagen,FC Copenhagen,202606100133
rsRed Star,Red Star,202606100331
Partizan,Partizan,202606100293
rsPartizan,Partizan,202606100293
Dinamo Zagreb,Dinamo Zagreb,202606100112
hrDinamo Zagreb,Dinamo Zagreb,202606100112
Shakhtar Donetsk,Shakhtar Donetsk,202606100357
uaShakhtar Donetsk,Shakhtar Donetsk,202606100357
Dynamo Kyiv,Dynamo Kyiv,202606100117
uaDynamo Kyiv,Dynamo Kyiv,202606100117
Sheriff Tiraspol,Sheriff Tiraspol,202606100363
mdFC Sheriff Tiraspol,Sheriff Tiraspol,202606100363
Sparta Prague,Sparta Prague,202606100372
czSparta Prague,Sparta Prague,202606100372
Slavia Prague,Slavia Prague,202606100367
czSlavia Prague,Slavia Prague,202606100367
Elversberg,SV Elversberg,202606100345
SV Elversberg,SV Elversberg,202606100345
deSV Elversberg,SV Elversberg,202606100345
Juve Stabia,Juve Stabia,202606100199
SS Juve Stabia,Juve Stabia,202606100199
itJuve Stabia,Juve Stabia,202606100199
Osnabrück,VfL Osnabrück,202606100409
Osnabruck,VfL Osnabrück,202606100409
VfL Osnabrück,VfL Osnabrück,202606100409
deVfL Osnabrück,VfL Osnabrück,202606100409
Wigan Athletic,Wigan,202606100423
Wigan,Wigan,202606100423
enWigan Athletic,Wigan,202606100423
atAustria Wien,Austria Wien,202606100031
atLASK,LASK,202606100209
atRapid Wien,Rapid Wien,202606100322
atWolfsberger AC,Wolfsberger AC,202606100424
beAntwerp,Antwerp,202606100020
beStandard Liège,Standard Liège,202606100379
beZulte Waregem,Zulte Waregem,202606100434
chBasel,FC Basel,202606100131
chYoung Boys,Young Boys,202606100429
chZürich,FC Zürich,202606100143
chServette FC,Servette FC,202606100354
chSt. Gallen,St. Gallen,202606100377
chLuzern,Luzern,202606100237
trBeşiktaş,Beşiktaş,202606100046
trFenerbahçe,Fenerbahçe,202606100152
trTrabzonspor,Trabzonspor,202606100395
trBaşakşehir,İstanbul Başakşehir,202606100437
nlGo Ahead Eagles,Go Ahead Eagles,202606100171
nlVitesse,Vitesse,202606100415
czViktoria Plzeň,Viktoria Plzeň,202606100412
czSlovan Liberec,Slovan Liberec,202606100369
czJablonec,FK Jablonec,202606100145
dkBrøndby,Brøndby IF,202606100066
dkMidtjylland,FC Midtjylland,202606100137
plLegia Warsaw,Legia Warsaw,202606100221
plLech Poznań,Lech Poznań,202606100218
huFerencváros,Ferencváros,202606100154
roFCSB,FCSB,202606100144
azQarabağ,Qarabağ FK,202606100312
bgLudogorets Razgrad,Ludogorets,202606100234
uaZorya Luhansk,Zorya Luhansk,202606100432
ruCSKA Moscow,CSKA Moscow,202606100072
ruZenit,Zenit Saint Petersburg,202606100431
alKukësi,FK Kukësi,202606100147
baSarajevo,FK Sarajevo,202606100148
baZrinjski Mostar,Zrinjski Mostar,202606100433
bgCSKA Sofia,CSKA Sofia,202606100073
bgLevski Sofia,Levski Sofia,202606100225
bgLokomotiv Plovdiv,Lokomotiv Plovdiv,202606100231
hrHajduk Split,Hajduk Split,202606100178
hrRijeka,HNK Rijeka,202606100177
rsTSC,TSC Bačka Topola,202606100388
rsČukarički,FK Čukarički,202606100149
xkKF Drita,KF Drita,202606100201
ruKrasnodar,FK Krasnodar,202606100146
ruLoko Moscow,Lokomotiv Moscow,202606100230
ruSpartak Moscow,Spartak Moscow,202606100373
uaDesna Chernihiv,Desna Chernihiv,202606100109
uaFC Oleksandriya,FC Oleksandriya,202606100139
uaFC Polissya Zhytomyr,Polissya Zhytomyr,202606100301
uaKryvbas,Kryvbas Kryvyi Rih,202606100206
uaVorskla Poltava,Vorskla Poltava,202606100417
byBATE Borisov,BATE Borisov,202606100034
byFC Neman Grodno,Neman Grodno,202606100266
byShakhtyor,Shakhtyor Soligorsk,202606100358
kzFC Astana,FC Astana,202606100130
kzFC Kairat,FC Kairat,202606100136
dkSilkeborg,Silkeborg IF,202606100365
dkViborg,Viborg FF,202606100410
noBrann,SK Brann,202606100343
noFredrikstad,Fredrikstad FK,202606100159
seBK Häcken,BK Häcken,202606100035
seDjurgården,Djurgårdens IF,202606100113
seElfsborg,IF Elfsborg,202606100192
seMalmö,Malmö FF,202606100247
seÖstersund,Östersunds FK,202606100435
fiHJK Helsinki,HJK Helsinki,202606100176
fiKuPS,KuPS,202606100207
eeFC Flora,FC Flora,202606100134
ltŽalgiris,FK Žalgiris,202606100150
lvFK Rīgas Futbola skola,RFS,202606100317
foKÍ Klaksvík,KÍ Klaksvík,202606100208
cyAC Omonia,Omonia Nicosia,202606100278
cyAEK Larnaca FC,AEK Larnaca,202606100003
cyAPOEL FC,APOEL FC,202606100004
cyApollon Limassol,Apollon Limassol,202606100021
cyAris Limassol FC,Aris Limassol,202606100022
cyPafos FC,Pafos FC,202606100287
ilMaccabi Haifa,Maccabi Haifa,202606100242
ilMaccabi Tel Aviv FC,Maccabi Tel Aviv,202606100243
ilHapoel Be'er Sheva FC,Hapoel Be'er Sheva,202606100182
ilHapoel Haifa FC,Hapoel Haifa,202606100183
grAEK Athens,AEK Athens,202606100002
chLausanne-Sport,Lausanne-Sport,202606100211
czMladá Boleslav,Mladá Boleslav,202606100257
czSigma Olomouc,Sigma Olomouc,202606100364
czSlovácko,FC Slovácko,202606100140
skSlovan Bratislava,Slovan Bratislava,202606100368
skRužomberok,MFK Ružomberok,202606100239
huDebrecen,Debreceni VSC,202606100105
huPuskás Akadémia,Puskás Akadémia,202606100309
huVidi,MOL Fehérvár,202606100240
huÚjpest,Újpest FC,202606100436
roCFR Cluj,CFR Cluj,202606100071
roCS U Craiova,Universitatea Craiova,202606100403
roDinamo București,Dinamo București,202606100111
plJagiellonia,Jagiellonia Białystok,202606100197
plRaków,Raków Częstochowa,202606100320
trAkhisarspor,Akhisarspor,202606100009
trKonyaspor,Konyaspor,202606100205
trSamsunspor,Samsunspor,202606100350
trSivasspor,Sivasspor,202606100366
ieDundalk FC,Dundalk,202606100114
ieShamrock Rovers,Shamrock Rovers,202606100359
ieShelbourne FC,Shelbourne,202606100362
isBreiðablik,Breiðablik,202606100060
isStjarnan,Stjarnan,202606100380
luF91 Dudelange,F91 Dudelange,202606100129
nirCrusaders FC,Crusaders,202606100099
wlsThe New Saints FC,TNS,202606100387
liVaduz,FC Vaduz,202606100142
beOostende,KV Oostende,202606100202
ptPaços de Ferreira,Paços de Ferreira,202606100295
ptRio Ave,Rio Ave,202606100337
sctHibernian,Hibernian,202606100187
amFC Noah,FC Noah,202606100138
amPyunik,Pyunik Yerevan,202606100310
FC Südtirol,FC Südtirol,202606100141
Karlsruher,Karlsruhe,202606100204
Sheffield Weds,Sheffield Wednesday,202606100361
Stade Laval,Laval,202606100212
Grenoble Foot,Grenoble,202606100173
Celta,Celta Vigo,202606100082
Ath Bilbao,Athletic Club,202606100028
Ath Madrid,Atlético Madrid,202606100029
Betis,Real Betis,202606100326
Sociedad,Real Sociedad,202606100328
Espanol,Espanyol,202606100126
La Coruna,Deportivo La Coruna,202606100107
Vallecano,Rayo Vallecano,202606100324
Almeria,Almería,202606100013
Ein Frankfurt,Eintracht Frankfurt,202606100120
Hamburg,Hamburger SV,202606100179
Dusseldorf,Fortuna Duesseldorf,202606100158
Greuther Furth,Greuther Fürth,202606100174
Leipzig,RB Leipzig,202606100315
St Etienne,Saint-Étienne,202606100347
Spal,SPAL 2013,202606100344
AC Chievo Verona,Chievo,202606100088
AC Perugia Calcio,Perugia,202606100296
AC Pisa 1909,Pisa,202606100299
AC Reggiana 1919,Reggiana,202606100332
